timestamp_ms,iso_time,underlying,expiry,last_price,call_money_flow,put_money_flow,mf_ratio,call_delta_flow,put_delta_flow,df_ratio,call_iv_flow,put_iv_flow,ivf_ratio,call_otm_impact,put_otm_impact,call_itm_impact,put_itm_impact,call_gex,put_gex,net_gex,call_vanna_flow,put_vanna_flow,vanna_ratio,call_charm,put_charm,charm_pressure,call_iv_flow_itm,put_iv_flow_itm,call_iv_flow_otm,put_iv_flow_otm,iv_net,call_vol_imbalance,put_vol_imbalance,vol_imbalance_ratio,call_smart_money,put_smart_money,smart_money_ratio,call_hedge_pressure,put_hedge_pressure,net_hedge_pressure,skew_pressure,skew_intensity,cash_net
1767095859928,2025-12-30T06:57:39,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249172.99,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095860932,2025-12-30T06:57:40,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095861936,2025-12-30T06:57:41,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095862940,2025-12-30T06:57:42,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095863945,2025-12-30T06:57:43,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095864949,2025-12-30T06:57:44,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095865952,2025-12-30T06:57:45,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095866956,2025-12-30T06:57:46,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095867961,2025-12-30T06:57:47,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249202.25,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095868966,2025-12-30T06:57:48,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249225.01,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
